PeopleName,pronunciation,Country,Population,Language,Religion,Latitude,Longitude,Global Status of  Evangelical Christianity,Evangelical Engagement,Physical Exertion,Freedom Index,Government Restrictions Index,Social Hostilities Index,Threat Level,ROP1,ROP2,ROP3,People Name,GENC,FIPS,FIPS of Origin,Unnamed: 21,Unnamed: 22,IMB Affinity Group,Not Engaged Anywhere,SPI,Strategic Priority Index,Population Layer,Indigenous,ISOalpha3,
Edo,edo,Canada,1300,Edo,Christianity - Non-Evangelical Protestant,45.48504,-73.616732,4,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A013,C0085,102871,Edo,CAN,CA,NI,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,CAN,edo
Edo,edo,United States,100,Edo,Christianity - Non-Evangelical Protestant,32.7807,-96.603,4,Unengaged,Little,Free,Moderate,High,Caution,A013,C0085,102871,Edo,USA,US,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,edo
Efai,efai,Nigeria,12500,Efai,Christianity - Non-Evangelical Protestant,4.5985,8.304,5,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,102872,Efai,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,NGA,efai
Efutop,efu-top,Nigeria,34000,Efutop,Christianity - Non-Evangelical Protestant,6.0032,8.6142,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,102875,Efutop,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,NGA,efutop
Egbira,egbi-ra,Nigeria,2240000,Ebira,Ethnoreligion,8.15516,7.06183,5,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,103962,Igbirra,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""1",000,"000+""",Indigenous,NGA,egbira
Egyptian Copt,egy-ptee--uh-n copt,United States,241000,Egyptian Arabic,Christianity - Eastern Orthodox,40.7177,-74.0431,4,Unengaged,Little,Free,Moderate,High,Caution,A001,C0067,102880,Egyptian Copt,USA,US,,,,Northern African and Middle Eastern Peoples,,2,No Longer Unreached,"""100","000+""",Diaspora,USA,egyp-tian copt
Eitiep,eitie-p,Papua New Guinea,950,Eitiep,Christianity - Evangelical Protestant,-3.519929,142.596194,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102885,Eitiep,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,eitiep
Ejagham,eja-gha-m,Nigeria,126000,Ejagham,Christianity - Non-Evangelical Protestant,5.46344,8.66317,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,102887,Ejagham,NGA,NI,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""100","000+""",Indigenous,NGA,eja-gham
Ejagham,eja-gha-m,United States,100,Ejagham,Christianity - Non-Evangelical Protestant,32.6268,-96.9479,5,Unengaged,Little,Free,Moderate,High,Caution,A013,C0044,102887,Ejagham,USA,US,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,eja-gham
Ekajuk,eka-juk,Nigeria,84500,Ekajuk,Christianity - Non-Evangelical Protestant,6.4449,8.5546,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,102889,Ekajuk,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""50","000+""",Indigenous,NGA,ekajuk
Eket,eket,Nigeria,472000,Ekit,Christianity - Non-Evangelical Protestant,4.642,7.924,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,102890,Eket,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""100","000+""",Indigenous,NGA,eket
Ekpari,ekpa-ri,Nigeria,91000,Yace,Ethnoreligion - Animism,6.84259,8.84077,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,102893,Ekpari,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""50","000+""",Indigenous,NGA,ekpari
Ekpeye,ekpe-ye,Nigeria,103000,Ekpeye,Christianity - Non-Evangelical Protestant,5.06715,6.53362,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0095,102894,Ekpeye,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""100","000+""",Indigenous,NGA,ekpeye
Eleme,eleme,Nigeria,121000,Eleme,Christianity - Non-Evangelical Protestant,4.763,7.171,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,102897,Eleme,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""100","000+""",Indigenous,NGA,eleme
Elepi,elepi,Papua New Guinea,650,Elepi,Christianity - Evangelical Protestant,-3.7505,143.93014,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102898,Elepi,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,elepi
Eliri,eliri,Sudan,10500,Sudanese Arabic,Islam - Sunni,10.27415,30.73055,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0203,102900,Eliri,SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,SDN,eliri
Elpaputi,elpa-puti,Indonesia,550,Ambonese Malay,Ethnoreligion - Animism,-3.078,128.263,5,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0130,102904,Elpaputi,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,elpa-puti
Elseng,else-ng,Indonesia,300,Elseng,Christianity - Evangelical Protestant,-3.00176,140.41769,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,106815,Tabu,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,elseng
Elu,elu,Papua New Guinea,700,Elu,Christianity - Evangelical Protestant,-1.99841,147.10086,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102905,Elu,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,elu
Emai,emai,Nigeria,254000,Emai-Iuleha-Ora,Ethnoreligion - Animism,7.09089,5.84494,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0085,102908,Emai,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""100","000+""",Indigenous,NGA,emai
Eman,eman,Cameroon,2000,Eman,Christianity - Non-Evangelical Protestant,6.2529,9.6538,1,Unengaged,Strenuous,Not Free,Low,High,Level 2: Exercise Increased Caution,A013,C0044,102909,Eman,CMR,CM,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,CMR,eman
Embu-Mbeere,embu--mbee-re,United States,100,Kiembu,Christianity - Roman Catholicism,32.898,-96.6363,6,Unengaged,Little,Free,Moderate,High,Caution,A013,C0268,102911,Embu,USA,US,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,embu--mbeere
Emerum,eme-rum,Papua New Guinea,1900,Apal,Christianity - Evangelical Protestant,-5.1727,145.02281,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102913,Emerum,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,emerum
Emok,emok,Paraguay,1300,Spanish,Ethnoreligion,-25.195329,-57.725204,1,Unengaged,Medium,Partly Free,Low,Low,Level 1: Exercise Normal Precautions,A007,C0201,102917,Emok,PRY,PA,,,,American Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,PRY,emok
Emplawas,emp-lawa-s,Indonesia,275,Ambonese Malay,Christianity - Evangelical Protestant,-8.043,129.725,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0130,102918,Emplawas,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,empl-awas
Emumu,emumu,Indonesia,2200,Emem,Christianity - Evangelical Protestant,-3.74242,140.90347,6,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A010,C0152,102919,Emumu,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,emumu
Enawenê-Nawê,ena-wen-ê-na-wê,Brazil,550,Enawené-Nawé,Ethnoreligion - Animism,-12.3202,-59.2516,0,Unengaged,Medium,Free,Low,Moderate,Level 2: Exercise Increased Caution,A007,C0010,114794,Enawenê-Nawê,BRA,BR,,,,American Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,BRA,enawen-ê-nawê
Ende,ende,Indonesia,129000,Ende,Christianity - Non-Evangelical Protestant,-8.70998,121.55456,1,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0075,102920,Ende,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""100","000+""",Indigenous,IDN,ende
Eneti Dora,eneti dora,India,8400,Telugu,Hinduism,18.813014,82.712531,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,117787,Eneti Dora,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""<10","000""",Indigenous,IND,eneti dora
Engenni,enge-nni,Nigeria,55500,Engenni,Ethnoreligion - Animism,5.1114,6.4137,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0085,102925,Engenni,NGA,NI,,,,Sub-Saharan African Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,NGA,eng-enni
English Caribbean,eng-lis-h cari-bbea-n,Canada,387000,English,Christianity - Non-Evangelical Protestant,43.228202,-79.780701,6,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A007,C0337,115839,Afro-Caribbean,CAN,CA,,,,American Peoples,Yes,2,No Longer Unreached,"""100","000+""",Diaspora,CAN,engl-ish- cari-bbean
English Gypsy,eng-lis-h gypsy,Canada,3900,English,Christianity - Non-Evangelical Protestant,49.214868,-122.927887,4,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A003,C0279,102928,"""Romani"," Romanichal""",CAN,CA,,,,European Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,CAN,engl-ish- gypsy
Enxet,enxet,Paraguay,5700,Enxet,Ethnoreligion,-23.44629,-58.838404,4,Unengaged,Medium,Partly Free,Low,Low,Level 1: Exercise Normal Precautions,A007,C0083,117064,Enxet,PRY,PA,,,,American Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PRY,enxet
Epie,epie,Nigeria,42500,Epie,Ethnoreligion - Animism,4.9284,6.301,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0085,102933,Epie,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,NGA,epie
Equatorial Guineans,equa-toria-l gui-nea-ns,United States,350,Fang (Equatorial Guinea),Christianity - Roman Catholicism,25.778762,-80.234932,4,Unengaged,Little,Free,Moderate,High,Caution,A013,C0258,102997,Fang,USA,US,GB,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,equat-orial guin-eans
Erawallan,era-wal-lan,India,10000,Tamil,Hinduism - Folk,10.78615,76.653122,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0333,112009,Eravallan,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,IND,eraw-allan
Ere,ere,Papua New Guinea,3700,Ere,Christianity - Evangelical Protestant,-2.15569,147.08286,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102935,Ere,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,ere
Erenga,ere-nga,Sudan,12500,Assangori,Islam - Sunni,13.097984,22.059711,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0175,102936,Erenga,SDN,SU,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,SDN,erenga
Eribori,eri-bori,Ethiopia,10500,Arbore,Ethnoreligion,4.92183,36.79861,1,Unengaged,Extreme,Not Free,Moderate,Moderate,Level 3: Reconsider Travel,A004,C0276,100482,Arbore,ETH,ET,,,,Northern African and Middle Eastern Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,ETH,eri-bori
Erima,erima,Papua New Guinea,4400,Ogea,Christianity - Evangelical Protestant,-5.37766,145.71017,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102938,Erima,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,erima
Eritrean,eri-trea-n,Germany,61000,English,Christianity - Eastern Orthodox,48.140578,11.557347,1,Unengaged,Little,Free,Moderate,High,Level 2: Exercise Increased Caution,A004,C0068,110050,Tigrai/Tigrinya,DEU,GM,ER,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"""50","000+""",Diaspora,DEU,erit-rean
Eritrean,eri-trea-n,Sweden,55500,Tigrigna,Christianity - Eastern Orthodox,59.329444,18.068611,1,Unengaged,Little,Free,Low,Moderate,Level 2: Exercise Increased Caution,A004,C0068,110050,Tigrai/Tigrinya,SWE,SW,,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"""50","000+""",Diaspora,SWE,erit-rean
Eritreans,eri-trea-ns,Uganda,15500,Tigrigna,Christianity - Eastern Orthodox,0.313611,32.581111,4,Unengaged,Strenuous,Not Free,Moderate,High,Level 3: Reconsider Travel,A001,C0013,117091,Eritrean,UGA,UG,,,,Northern African and Middle Eastern Peoples,,2,No Longer Unreached,"""10","000+""",Diaspora,UGA,erit-reans
Erokwanas,ero-kwa-nas,Indonesia,275,Erokwanas,Ethnoreligion - Animism,-2.83746,132.7048,5,Unengaged,Medium,Partly Free,Very High,High,Level 2: Exercise Increased Caution,A008,C0123,102941,Erokwanas,IDN,ID,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,IDN,erok-wanas
Ersu,ersu,China,46500,Ersu,Buddhism - Tibetan,29.235585,102.355916,1,Unengaged,Medium,Not Free,Very High,Low,Other,A014,C0229,114052,Ersu,CHN,CH,,,,Asian Pacific Rim Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,CHN,ersu
Eruwa,eruwa,Nigeria,104000,Eruwa,Ethnoreligion - Animism,5.2475,6.2102,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0085,102945,Eruwa,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""100","000+""",Indigenous,NGA,eruwa
Esan,esan,Nigeria,694000,Esan,Christianity - Non-Evangelical Protestant,6.7087,6.3231,4,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0085,102947,Esan,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""100","000+""",Indigenous,NGA,esan
Estonian,esto-nee--uh-n,Canada,10000,Standard Estonian,Christianity - Eastern Orthodox,43.654718,-79.424984,5,Unengaged,Little,Free,Low,Moderate,Level 1: Exercise Normal Precautions,A003,C0073,102954,Estonian,CAN,CA,EN,,,European Peoples,,2,No Longer Unreached,"""10","000+""",Diaspora,CAN,esto-nian
Estonian,esto-nee--uh-n,Kazakhstan,2300,Standard Estonian,Christianity - Eastern Orthodox,43.236452,76.882305,1,Unengaged,Low,Not Free,High,Moderate,Level 1: Exercise Normal Precautions,A003,C0073,102954,Estonian,KAZ,KZ,EN,,,European Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,KAZ,esto-nian
Estonian,esto-nee--uh-n,Sweden,12500,Standard Estonian,Christianity - Eastern Orthodox,55.587786,12.959851,1,Unengaged,Little,Free,Low,Moderate,Level 2: Exercise Increased Caution,A003,C0073,102954,Estonian,SWE,SW,EN,,,European Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,SWE,esto-nian
Estonian,esto-nee--uh-n,United Kingdom,13000,Standard Estonian,Christianity - Eastern Orthodox,51.616919,0.034563,1,Unengaged,Little,Free,Moderate,High,Level 2: Exercise Increased Caution,A003,C0073,102954,Estonian,GBR,UK,EN,,,European Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,GBR,esto-nian
Estonian,esto-nee--uh-n,Uzbekistan,1500,Standard Estonian,Christianity - Eastern Orthodox,41.314933,69.218664,1,Unengaged,Medium,Not Free,Very High,Low,Level 1: Exercise Normal Precautions,A003,C0073,102954,Estonian,UZB,UZ,EN,,,European Peoples,,0,Unengaged and Unreached,"""<10","000""",Diaspora,UZB,esto-nian
Etebi,etebi,Nigeria,35000,Etebi,Christianity - Non-Evangelical Protestant,4.638,8.119,5,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,102956,Etebi,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,NGA,etebi
Ethiopian,ethio-pee--uh-n,Germany,22000,Amharic,Christianity - Eastern Orthodox,50.131453,8.670422,1,Unengaged,Little,Free,Moderate,High,Level 2: Exercise Increased Caution,A004,C0068,100293,Amhara,DEU,GM,ET,,,Northern African and Middle Eastern Peoples,,0,Unengaged and Unreached,"""10","000+""",Diaspora,DEU,eth-i-opian
Etoro,etoro,Papua New Guinea,3500,Edolo,Christianity - Evangelical Protestant,-6.11618,142.65007,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102962,Etoro,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,PNG,etoro
Eurafrican,eura-fri-can,Sudan,14000,English,Christianity - Non-Evangelical Protestant,15.5172,32.5173,1,Unengaged,Strenuous,Not Free,High,Moderate,Level 4: Do Not Travel,A013,C0173,102964,Coloured,SDN,SU,SF,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""10","000+""",Indigenous,SDN,euraf-rican
Eurasian,eura-see--uh-n,Malaysia,67000,English,Christianity - Roman Catholicism,3.139634,101.704717,6,Unengaged,Low,Partly Free,High,High,Level 1: Exercise Normal Precautions,A011,C0171,102965,Eurasian,MYS,MY,,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"""50","000+""",Diaspora,MYS,eura-sian
Eurasian,eura-see--uh-n,Myanmar,55500,English,Christianity - Evangelical Protestant,16.825315,96.167902,6,Unengaged,Strenuous,Not Free,Very High,High,Level 4: Do Not Travel,A011,C0171,102965,Eurasian,MMR,BM,MY,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"""50","000+""",Diaspora,MMR,eura-sian
Euronesian,euro-nesee--uh-n,Solomon Islands,22500,English,Christianity - Non-Evangelical Protestant,-9.423314,160.013527,5,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A010,C0170,102966,Euronesian,SLB,BP,FP,,,Asian Pacific Rim Peoples,,2,No Longer Unreached,"""10","000+""",Diaspora,SLB,euron-esian
Evand,evand,Nigeria,19500,Evant,Christianity - Non-Evangelical Protestant,6.3558,9.3448,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0044,102968,Evand,NGA,NI,,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""10","000+""",Indigenous,NGA,evand
Even,even,Russian Federation,19000,Russian,Ethnoreligion - Shamanism,62.7627,148.1616,1,Unengaged,Low,Not Free,Very High,Very High,Level 4: Do Not Travel,A015,C0223,102970,Even,RUS,RS,,,,European Peoples,Yes,0,Unengaged and Unreached,"""10","000+""",Indigenous,RUS,even
Evenk,evenk,Russian Federation,33500,Evenki,Ethnoreligion - Shamanism,64.2756,100.21,1,Unengaged,Low,Not Free,Very High,Very High,Level 4: Do Not Travel,A015,C0009,114054,"""Ewenki"," Tungus""",RUS,RS,,,,European Peoples,,0,Unengaged and Unreached,"""10","000+""",Indigenous,RUS,evenk
Ewage-Notu,ewa-ge--notu,Papua New Guinea,39500,Ewage-Notu,Christianity - Evangelical Protestant,-8.680496,148.42043,6,Unengaged,Strenuous,Partly Free,Low,Moderate,Level 3: Reconsider Travel,A010,C0152,102973,Ewage-Notu,PNG,PP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""10","000+""",Indigenous,PNG,ewage--notu
Ewe,ewe,Benin,94500,Éwé,Ethnoreligion,6.3816,2.3481,1,Unengaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0085,102974,Ewe,BEN,BN,GH,,,Sub-Saharan African Peoples,,0,Unengaged and Unreached,"""50","000+""",Indigenous,BEN,ewe
Ewe,ewe,Cote d’Ivoire,20000,Éwé,Islam - Folk,5.349357,-4.002845,6,Unengaged,Strenuous,Partly Free,Low,High,Level 2: Exercise Increased Caution,A013,C0085,102974,Ewe,CIV,IV,GH,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""10","000+""",Diaspora,CIV,ewe
Ewe,ewe,Ghana,2935000,Éwé,Ethnoreligion,6.14219,0.63453,5,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A013,C0085,102974,Ewe,GHA,GH,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""1",000,"000+""",Indigenous,GHA,ewe
Ewe,ewe,Nigeria,660000,Éwé,Ethnoreligion,6.6789,3.2792,5,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0085,102974,Ewe,NGA,NI,GH,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""100","000+""",Diaspora,NGA,ewe
Ewe,ewe,Togo,1945000,Éwé,Christianity - Non-Evangelical Protestant,6.77903,0.99542,4,Unengaged,Strenuous,Partly Free,Low,Low,Level 1: Exercise Normal Precautions,A013,C0085,102974,Ewe,TGO,TO,GH,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""1",000,"000+""",Indigenous,TGO,ewe
Ewe,ewe,United States,3400,Éwé,Ethnoreligion,32.6925,-97.1224,6,Unengaged,Little,Free,Moderate,High,Caution,A013,C0085,102974,Ewe,USA,US,,,,Sub-Saharan African Peoples,,2,No Longer Unreached,"""<10","000""",Diaspora,USA,ewe
Ezaa,ezaa,Nigeria,786000,Ezaa,Christianity - Non-Evangelical Protestant,6.630708,8.060215,5,Unengaged,Strenuous,Partly Free,High,Very High,Level 3: Reconsider Travel,A013,C0095,102979,Ezaa,NGA,NI,,,,Sub-Saharan African Peoples,Yes,2,No Longer Unreached,"""100","000+""",Indigenous,NGA,ezaa
Ezhavathi,ezha-vat-hi,India,53500,Malayalam,Hinduism,9.500364,76.342873,1,Unengaged,Strenuous,Partly Free,High,Very High,Level 2: Exercise Increased Caution,A012,C0311,112272,Ilavathi,IND,IN,,,,South Asian Peoples,Yes,0,Unengaged and Unreached,"""50","000+""",Indigenous,IND,ezhav-ath-i
Fagani,faga-ni,Solomon Islands,1600,Fagani,Christianity - Non-Evangelical Protestant,-10.3418,161.6296,5,Unengaged,Strenuous,Free,Low,Moderate,Level 2: Exercise Increased Caution,A010,C0197,102983,Fagani,SLB,BP,,,,Asian Pacific Rim Peoples,Yes,2,No Longer Unreached,"""<10","000""",Indigenous,SLB,fagani
